building,lat,long,name,url
Social Work Library, 43.07426244530435, -89.40826237657971 ,Social work library,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/5528105240128185111_base64_5_1677001325.jpg?alt=media
Social Work Library, 43.07426244530435, -89.40826237657971 ,Social work library basement,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/5528105950129477752_base64_5_1677001395.jpg?alt=media
Steenbock Memorial Library, 43.07640023387833, -89.41306341705429 ,Steenbock library,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous2031.jpg?alt=media
Sterling Hall, 43.07488093737565, -89.40583043239897 ,4th floor sterling,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous2066.jpg?alt=media
Sterling Hall, 43.07488093737565, -89.405830432398 ,7th floor sterling,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous2067.jpg?alt=media
Sterling Hall, 43.07488093737565, -89.405830432397 ,3rd floor sterling,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous2068.jpg?alt=media
Sterling Hall, 43.07488093737565, -89.405830432396 ,Sterling 1st floor lobby,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous2065.jpg?alt=media
Stock Pavilion, 43.0749608891511, -89.41509604589052 ,Stock pavilion study area,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous2038.jpg?alt=media
StudentPrint, 43.072692817019, -89.39870638821837 ,Student print,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous20116.jpg?alt=media
Taylor Hall, 43.074444238380856, -89.4093335170544 ,Henry Taylor hall penn room,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous209.jpg?alt=media
Taylor Hall, 43.074444238380856, -89.4093335170544 ,Quiet study area 1st floor Taylor hall,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous2010.jpg?alt=media
The University Club, 43.07441289013215, -89.40938716123513 ,University club,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous20114.jpg?alt=media
The University Club, 43.07441289013215, -89.40938716123513 ,4th floor university club,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous20115.jpg?alt=media
Union South, 43.072070407449985, -89.4076678612353 ,Union south,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/Union-South_0515_0811.jpg?alt=media
Union South, 43.072070407449985, -89.4076678612353 ,The sett,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/2824786_Lu6jSM9CggIrsDYAzxUYio3SdeCLs-odCHgKlun5To4.jpg?alt=media
University of Wisconsin Biotechnology, 43.0764844450652, -89.40936667178194 ,Window nook with desk 3rd floor biotech,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/5527276560121211273_base64_5_1676918456.jpg?alt=media
University of Wisconsin Biotechnology, 43.0764844450652, -89.40936667178194 ,4th floor biotech longue,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/5527274730127142482_base64_5_1676918273.jpg?alt=media
University of Wisconsin-Madison Biotechnology, 43.0764844450652, -89.4093666717818 ,Biotech patio,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/5527274310128409743_base64_5_1676918231.jpg?alt=media
University of Wisconsin-Madison Biotechnology, 43.0764844450652, -89.4093666717817 ,4th floor biotech,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/5527284170129764990_base64_5_1676919217.jpg?alt=media
University of Wisconsin-Madison Biotechnology, 43.0764844450652, -89.4093666717816 ,5th floor biotech walkway,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/5527270430124554720_base64_5_1676917843.jpg?alt=media
University of Wisconsin-Madison Biotechnology, 43.0764844450652, -89.4093666717815 ,Biotech 4th floor window nook,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/5527272520128404509_base64_5_1676918052.jpg?alt=media
University of Wisconsin-Madison Biotechnology, 43.0764844450652, -89.4093666717814 ,Biotech center lobby,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/5527268730124847213_base64_5_1676917673.jpg?alt=media
University of Wisconsin-Madison Biotechnology, 43.0764844450652, -89.4093666717813 ,5th floor biotech,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/5527269590127443775_base64_5_1676917759.jpg?alt=media
University of Wisconsin-Madison Biotechnology, 43.0764844450652, -89.4093666717812 ,5th floor biotech lobby,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/5527269930128532821_base64_5_1676917793.jpg?alt=media
UW Department of Life Sciences Communication, 43.07612022393562, -89.41167194959651 ,student lounge life science communication,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous2026.jpg?alt=media
UW School of Journalism, 43.07286546571378, -89.39982139403763 ,Journalism reading room,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous20110.jpg?alt=media
Van Hise Hall, 43.07545305132517, -89.4064714323989 ,Van hise desk at main floor,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous2013.jpg?alt=media
Van Hise Hall, 43.07545305132517, -89.4064714323988 ,4th floor van hise infolabs,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous2014.jpg?alt=media
Van Hise Hall, 43.07545305132517, -89.4064714323987 ,Van hise lounge,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous2012.jpg?alt=media
Van Hise Hall, 43.07545305132517, -89.4064714323986 ,Can hise lobby,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous2011.jpg?alt=media
Van Vleck Hall, 43.07484425233733, -89.40447351705437 ,Van vleck b3 bench desk area,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous2071.jpg?alt=media
Van Vleck Hall, 43.07484425233733, -89.4044735170543 ,Van vleck 9th floor,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous2072.jpg?alt=media
Van Vleck Hall, 43.07484425233733, -89.4044735170542 ,Van vleck 1st floor lobby,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous2073.jpg?alt=media
Van Vleck Hall, 43.07484425233733, -89.4044735170541 ,Van vleck b2 single desk (not pictured),https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous2070.jpg?alt=media
Van Vleck Hall, 43.07484425233733, -89.4044735170540 ,Van vleck b1 (entirely),https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous2069.jpg?alt=media
Vilas Communication Hall, 43.072801355733745, -89.39980635938221 ,4th floor vilas,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous20107.jpg?alt=media
Vilas Communication Hall, 43.072801355733745, -89.3998063593821 ,6th floor vilas desk,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous20109.jpg?alt=media
Vilas Communication Hall, 43.072801355733745, -89.3998063593820 ,5th floor vilas,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous20108.jpg?alt=media
Vilas Communication Hall, 43.072801355733745, -89.3998063593819 ,Second floor vilas,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous20105.jpg?alt=media
Vilas Communication Hall, 43.072801355733745, -89.3998063593818 ,Vilas basement,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous20106.jpg?alt=media
Wisconsin Center for Education Research, 43.07211190637398, -89.40297557472681 ,Education research lobby,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/5524620279124676563_base64_5_1676652827.jpg?alt=media
Wisconsin Energy Institute, 43.073649788117145, -89.41406661890747 ,Energy building conference rooms,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/5523880979126460648_base64_5_1676578897.jpg?alt=media
Wisconsin Energy Institute, 43.073649788117145, -89.4140666189074 ,Energy institute atrium,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/5523874789129313449_base64_5_1676578278.jpg?alt=media
Wisconsin Energy Institute, 43.073649788117145, -89.4140666189073 ,Random couch in energy building,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/5523879539128221497_base64_5_1676578753.jpg?alt=media
Wisconsin Energy Institute, 43.073649788117145, -89.4140666189072 ,Energy building patio,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/5523876599129937454_base64_5_1676578460.jpg?alt=media
Wisconsin School of Business, 43.07283406752125, -89.40158195938223 ,Business school library,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous2053.jpg?alt=media
Wisconsin School of Business, 43.07283406752125, -89.4015819593821 ,3-5th floor balconies in the business school,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous2057.jpg?alt=media
Wisconsin School of Business, 43.07283406752125, -89.4015819593820 ,Mem u table and chairs in 2nd floor b school hallway,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous2055.jpg?alt=media
Wisconsin School of Business, 43.07283406752125, -89.4015819593819 ,Business school Pete’s coffee,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous2059.jpg?alt=media
Wisconsin School of Business, 43.07283406752125, -89.4015819593818 ,3rd floor business school lounge area,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous2056.jpg?alt=media
Wisconsin School of Business, 43.07283406752125, -89.4015819593817 ,Business school lobby desks,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous2058.jpg?alt=media
Wisconsin School of Business, 43.07283406752125, -89.4015819593816 ,Miscellaneous chairs in Business School,https://firebasestorage.googleapis.com/v0/b/gradesandreviews.appspot.com/o/image_anonymous2054.jpg?alt=media
